Perido,Industria,Departamento,Cargo,Región,Sueldo_Min,Sueldo_Max
2025-Q1,Lab & Pharma,IT,Analista BI,NOA,3220888,3555024
2025-Q1,Lab & Pharma,IT,Analista BI,Patagonia,3660100,4039800
2025-Q1,Manufactura,IT,Analista BI,Buenos Aires,2804700,3751500
2025-Q1,Manufactura,IT,Analista BI,Cuyo,2580324,3451380
2025-Q1,Manufactura,IT,Analista BI,Litoral,2580324,3451380
2025-Q1,Manufactura,IT,Analista BI,NEA,2468136,3301320
2025-Q1,Manufactura,IT,Analista BI,NOA,2468136,3301320
2025-Q1,Manufactura,IT,Analista BI,Patagonia,2804700,3751500
2025-Q1,Retail & Comercio,IT,Analista BI,Buenos Aires,2804725,3751174.68
2025-Q1,Retail & Comercio,IT,Analista BI,Cuyo,2580347,3451080.7056
2025-Q1,Retail & Comercio,IT,Analista BI,Litoral,2580347,3451080.7056
2025-Q1,Retail & Comercio,IT,Analista BI,NEA,2468158,3301033.7184
2025-Q1,Retail & Comercio,IT,Analista BI,NOA,2468158,3301033.7184
2025-Q1,Retail & Comercio,IT,Analista BI,Patagonia,2804725,3751174.68
2025-Q1,Servicios,IT,Analista BI,Buenos Aires,2805000,3751200
2025-Q1,Servicios,IT,Analista BI,Cuyo,2580600,3451104
2025-Q1,Servicios,IT,Analista BI,Litoral,2580600,3451104
2025-Q1,Servicios,IT,Analista BI,NEA,2468400,3301056
2025-Q1,Servicios,IT,Analista BI,NOA,2468400,3301056
2025-Q1,Servicios,IT,Analista BI,Patagonia,2805000,3751200
2025-Q1,Transporte y logística,IT,Analista BI,Buenos Aires,2804725,3751170
2025-Q1,Transporte y logística,IT,Analista BI,Cuyo,2580347,3451076.4
2025-Q1,Transporte y logística,IT,Analista BI,Litoral,2580347,3451076.4
2025-Q1,Transporte y logística,IT,Analista BI,NEA,2468158,3301029.6
2025-Q1,Transporte y logística,IT,Analista BI,NOA,2468158,3301029.6
2025-Q1,Transporte y logística,IT,Analista BI,Patagonia,2804725,3751170
2025-Q1,Automotriz,IT,Analista funcional,Buenos Aires,3537521,4100307.28965
2025-Q1,Automotriz,IT,Analista funcional,Cuyo,3254519.32,3772282.706478
2025-Q1,Automotriz,IT,Analista funcional,Litoral,3254519.32,3772282.706478
2025-Q1,Automotriz,IT,Analista funcional,NEA,3113018.48,3608270.414892
2025-Q1,Automotriz,IT,Analista funcional,NOA,3113018.48,3608270.414892
2025-Q1,Automotriz,IT,Analista funcional,Patagonia,3537521,4100307.28965
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,Buenos Aires,3692418,4636502.7588
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,Cuyo,3397024.56,4265582.538096
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,Litoral,3397024.56,4265582.538096
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,NEA,3249327.84,4080122.427744
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,NOA,3249327.84,4080122.427744
2025-Q1,Banca & Serv Financieros,IT,Analista funcional,Patagonia,3692418,4636502.7588
2025-Q1,Consumo masivo,IT,Analista funcional,Buenos Aires,3265404,4100307
2025-Q1,Consumo masivo,IT,Analista funcional,Cuyo,3004171.68,3772282.44
2025-Q1,Consumo masivo,IT,Analista funcional,Litoral,3004171.68,3772282.44
2025-Q1,Consumo masivo,IT,Analista funcional,NEA,2873555.52,3608270.16
2025-Q1,Consumo masivo,IT,Analista funcional,NOA,2873555.52,3608270.16
2025-Q1,Consumo masivo,IT,Analista funcional,Patagonia,3265404,4100307
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,Buenos Aires,3560545,4470912.7254
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,Cuyo,3275701.4,4113239.707368
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,Litoral,3275701.4,4113239.707368
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,NEA,3133279.6,3934403.198352
2025-Q1,"Gas, Petróleo y Minería",IT,Analista funcional,NOA,3133279.6,3934403.198352
