ID_Alojamiento,URL_Alojamiento,Desc_Alojamiento,ID_Host,Nombre_Host,Fecha_Ini_Host,Ubicacion_Host,Tiempo_Rpta_Host,Ratio_Rpta_Host,Superhost,Barrio_Alojamiento,Barrio_Latitude,Barrio_Logitude,Tipo_Propiedad,Capacidad_Alojamiento,Cant_Baños,Cant_Camas,Noches_Min,Noches_Max,Cant_Reseñas_Alojamiento,Fecha_Ini_Reseña,Fecha_Ult_Reseña,Score_Rating,Punto_Geo_Alojamiento,Precio_Noche,Moneda,Amenidades
685485751695127706,https://www.airbnb.com/rooms/685485751695127706,Condo in Núñez · ?4.88 · 1 bedroom · 1 bed · 1 bath,236147381,Patricia,1/12/2019,,within a few hours,90%,f,Nuñez,-34.55062,-58.46687,Entire condo,2,1 bath,1.0,4,730,17,10/26/2022,11/23/2023,4.88,"[-58.46687, -34.55062]",24.0,USD,"['Bathtub', 'Hair dryer', 'Cleaning products', 'Dove shampoo', 'Dove body soap', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'Cotton linens', 'HDTV with Netflix, premium cable', 'AC - split type ductles"
685502407240131559,https://www.airbnb.com/rooms/685502407240131559,Rental unit in Caballito · ?4.93 · 1 bedroom · 1 bed · 1 bath,196368560,Agustin,6/18/2018,"Buenos Aires, Argentina",within an hour,100%,t,Caballito,-34.62827,-58.44563,Entire rental unit,2,1 bath,1.0,60,365,15,9/12/2022,6/5/2023,4.93,"[-58.44563, -34.62827]",41.0,USD,"['Courtyard view', 'Bathtub', 'Body soap', 'Bidet', 'Hot water', 'Free washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Egyptian cotton linens', 'Extra pillows and blankets', 'Room-darkening shades'"
685533389933877877,https://www.airbnb.com/rooms/685533389933877877,Rental unit in Núñez · ?4.52 · 1 bedroom · 1 bed · 1 bath,441482178,Santiago,1/21/2022,"Buenos Aires, Argentina",within an hour,91%,f,Nuñez,-34.55186,-58.46703,Entire rental unit,2,1 bath,1.0,1,365,25,8/19/2022,11/23/2023,4.52,"[-58.46703, -34.55186]",25.0,USD,"['Bathtub', 'Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'Extra pillows and blankets', 'TV with standard cable', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where g"
685595630734231898,https://www.airbnb.com/rooms/685595630734231898,Condo in BSD · ?4.74 · 1 bedroom · 1 bed · 1 bath,473161230,Maria,8/3/2022,,within an hour,100%,f,Palermo,-34.57126,-58.42978,Entire condo,2,1 bath,1.0,5,730,43,8/27/2022,10/30/2023,4.74,"[-58.42978, -34.57126]",35.0,USD,"['City skyline view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron',"
685607370988016940,https://www.airbnb.com/rooms/685607370988016940,Rental unit in Almagro · ?4.69 · 1 bedroom · 1 bed · 1 bath,21427846,Brico,9/17/2014,"Buenos Aires, Argentina",within an hour,100%,f,Almagro,-34.614530627252925,-58.42696751078386,Entire rental unit,3,1 bath,1.0,2,365,13,4/14/2023,11/27/2023,4.69,"[-58.42696751078386, -34.614530627252925]",24.0,USD,"['Bathtub', 'Hair dryer', 'Shampoo', 'Body soap', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'Cotton linens', 'Room-darkening shades', 'Clothing storage: closet', 'HDTV', 'AC - split type ductless syst"
685630700198754889,https://www.airbnb.com/rooms/685630700198754889,Rental unit in Villa Luro · ?4.90 · 1 bedroom · 1 bed · 1 bath,464626881,Paola,6/16/2022,,within a few hours,100%,t,Villa Luro,-34.63837,-58.49241,Entire rental unit,2,1 bath,1.0,2,365,20,8/29/2022,10/30/2023,4.9,"[-58.49241, -34.63837]",14.0,USD,"['Bathtub', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'Room-darkening shades', 'Iron', 'Drying rack for clothing', 'Clothing storage: closet', 'TV with Chromecast', 'AC - split type ductless system', "
685638780229345478,https://www.airbnb.com/rooms/685638780229345478,Condo in Palermo · ?4.88 · 1 bedroom · 2 beds · 1 bath,48064803,Federico,11/3/2015,Argentina,within an hour,100%,f,Colegiales,-34.57843,-58.44116,Entire condo,3,1 bath,2.0,1,365,32,11/4/2022,11/5/2023,4.88,"[-58.44116, -34.57843]",44.0,USD,"['City skyline view', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Paid washer ? In building', 'Paid dryer ? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed lin"
685675830590047271,https://www.airbnb.com/rooms/685675830590047271,Rental unit in DHA · 1 bedroom · 1 bed · 1.5 baths,441482178,Santiago,1/21/2022,"Buenos Aires, Argentina",within an hour,91%,f,Palermo,-34.56844,-58.42987,Entire rental unit,2,1.5 baths,1.0,3,365,1,9/3/2022,9/3/2022,5.0,"[-58.42987, -34.56844]",75.0,USD,"['Shampoo', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'TV', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Microwave', 'Outdoor dining area', 'Fr"
685759833289074724,https://www.airbnb.com/rooms/685759833289074724,Loft in Buenos Aires · 1 bedroom · 3 beds · 1 bath,163570377,Martin,12/21/2017,"Buenos Aires, Argentina",within an hour,100%,f,Palermo,-34.5814551,-58.40809609999999,Entire loft,3,1 bath,3.0,2,28,0,,,,"[-58.40809609999999, -34.5814551]",20.0,USD,"['Garden view', 'City skyline view', 'Pool view', 'Park view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Free washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and "
686041902038998535,https://www.airbnb.com/rooms/686041902038998535,Condo in Palermo · ?4.88 · 1 bedroom · 1 bed · 1 bath,473083882,Luciano,8/3/2022,,within an hour,100%,t,Palermo,-34.59473,-58.4263,Entire condo,2,1 bath,1.0,4,365,16,8/22/2022,12/7/2023,4.88,"[-58.4263, -34.59473]",61.0,USD,"['Bathtub', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'D"
686094909558138312,https://www.airbnb.com/rooms/686094909558138312,Condo in Palermo · ?4.50 · Studio · 2 beds · 1 bath,100711432,Nahuel,10/21/2016,"Buenos Aires, Argentina",within an hour,100%,f,Almagro,-34.59855,-58.41954,Entire condo,3,1 bath,2.0,3,60,4,8/28/2022,9/15/2023,4.5,"[-58.41954, -34.59855]",38.0,USD,"['Bathtub', 'Hair dryer', 'Shampoo', 'Bidet', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Clothing storage', 'TV', 'Exercise equipment', 'Air conditioning', 'Heating', 'Smoke alarm"
686098466052366396,https://www.airbnb.com/rooms/686098466052366396,Condo in Recoleta · 2 bedrooms · 2 beds · 2 baths,132838002,Pablo,5/31/2017,"Buenos Aires, Argentina",within an hour,96%,t,Recoleta,-34.59156,-58.39111,Entire condo,4,2 baths,2.0,6,365,0,,,,"[-58.39111, -34.59156]",137.0,USD,"['Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Bed linens', 'Clothing storage', 'TV', 'Exercise equipment', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Space where guests can cook their "
686117144202083148,https://www.airbnb.com/rooms/686117144202083148,Condo in San Cristóbal · ?4.93 · 1 bedroom · 1 bed · 1 bath,288094105,Giuliana,8/22/2019,,within an hour,100%,t,San Cristobal,-34.61895,-58.39635,Entire condo,2,1 bath,1.0,3,365,14,8/12/2022,11/14/2023,4.93,"[-58.39635, -34.61895]",25.0,USD,"['Bathtub', 'Cleaning products', 'Shampoo', 'Conditioner', 'Body soap', 'Bidet', 'Hot water', 'Shower gel', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron'"
686120196263072653,https://www.airbnb.com/rooms/686120196263072653,Rental unit in Recoleta · ?5.0 · 2 bedrooms · 2 beds · 1 bath,11413105,Carola,1/18/2014,"Buenos Aires, Argentina",within a day,50%,f,Recoleta,-34.59231,-58.39287,Entire rental unit,4,1 bath,2.0,2,1125,6,9/19/2022,4/9/2023,5.0,"[-58.39287, -34.59231]",,,
686148529255429398,https://www.airbnb.com/rooms/686148529255429398,Condo in Palermo · ?4.66 · 1 bedroom · 1 bed · 1 bath,10966956,Vero Y Clara,1/2/2014,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.58655,-58.44154,Entire condo,2,1 bath,1.0,2,365,29,10/27/2022,11/30/2023,4.66,"[-58.44154, -34.58655]",34.0,USD,"['Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Clothing storage', 'TV', 'Exercise equipment', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated wo"
686148579238326129,https://www.airbnb.com/rooms/686148579238326129,Condo in Retiro · ?4.78 · 1 bedroom · 1 bed · 1 bath,10966956,Vero Y Clara,1/2/2014,"Buenos Aires, Argentina",within an hour,100%,t,Retiro,-34.5977,-58.37968,Entire condo,3,1 bath,1.0,1,365,18,1/25/2023,12/25/2023,4.78,"[-58.37968, -34.5977]",68.0,USD,"['Hair dryer', 'Washer', 'Dryer', 'TV', 'Exercise equipment', 'High chair', 'Air conditioning', 'Heating', 'Wifi', 'Dedicated workspace', 'Kitchen', 'Space where guests can cook their own meals', 'Refrigerator', 'Cooking basics', 'Pots and pans, oil, sal"
686181429223754751,https://www.airbnb.com/rooms/686181429223754751,Rental unit in San Nicolás · 1 bedroom · 2 beds · 2 baths,433309037,Facundo Agustín,11/24/2021,"Merlo, Argentina",within a day,50%,f,San Nicolas,-34.5993855,-58.37996210000001,Entire rental unit,3,2 baths,2.0,1,1125,2,12/10/2022,11/15/2023,5.0,"[-58.37996210000001, -34.5993855]",39.0,USD,"['Cleaning products', 'Body soap', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Clothing storage: closet', 'TV with Net"
