Unnamed: 0,Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Trip_Duration_in_min
52,619,2015-10-01 07:39:11,2015-10-01 07:49:31,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3192,Liberty Light Rail,40.7112423,-74.0557013,24429,Customer,1984.0,0,10
53,2640,2015-10-01 07:40:25,2015-10-01 08:24:26,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3213,Van Vorst Park,40.71848892,-74.047726625,24495,Subscriber,1984.0,1,44
54,511,2015-10-01 07:41:36,2015-10-01 07:50:08,3199,Newport Pkwy,40.7287448,-74.03210820000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24437,Subscriber,1964.0,1,9
55,409,2015-10-01 07:46:56,2015-10-01 07:53:46,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3202,Newport PATH,40.7272235,-74.03375890000001,24700,Subscriber,1961.0,1,7
56,651,2015-10-01 07:47:15,2015-10-01 07:58:07,3209,Brunswick St,40.7241765,-74.05065640000001,3211,Newark Ave,40.72152515,-74.046304543,24535,Subscriber,1980.0,2,11
57,411,2015-10-01 07:47:45,2015-10-01 07:54:36,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.730742625306576,-74.06378388404845,24610,Customer,1984.0,0,7
58,249,2015-10-01 07:48:00,2015-10-01 07:52:09,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24597,Subscriber,1975.0,1,4
59,369,2015-10-01 07:48:53,2015-10-01 07:55:03,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24443,Subscriber,1985.0,1,6
60,139,2015-10-01 07:49:57,2015-10-01 07:52:16,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,24448,Subscriber,1974.0,2,2
61,538,2015-10-01 07:50:10,2015-10-01 07:59:08,3210,Pershing Field,40.742677141,-74.051788633,3195,Sip Ave,40.730742625306576,-74.06378388404845,24492,Subscriber,1961.0,1,9
62,121,2015-10-01 07:50:45,2015-10-01 07:52:46,3211,Newark Ave,40.72152515,-74.046304543,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24567,Subscriber,1982.0,1,2
63,324,2015-10-01 07:50:51,2015-10-01 07:56:15,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24498,Customer,1984.0,0,5
64,354,2015-10-01 07:51:37,2015-10-01 07:57:31,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24490,Subscriber,1982.0,1,6
65,231,2015-10-01 07:52:04,2015-10-01 07:55:56,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24633,Subscriber,1978.0,1,4
66,380,2015-10-01 07:53:54,2015-10-01 08:00:14,3209,Brunswick St,40.7241765,-74.05065640000001,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24659,Subscriber,1982.0,1,6
67,400,2015-10-01 07:54:55,2015-10-01 08:01:35,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24625,Subscriber,1982.0,2,7
68,281,2015-10-01 07:56:36,2015-10-01 08:01:17,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24510,Subscriber,1977.0,1,5
69,444,2015-10-01 07:56:53,2015-10-01 08:04:17,3207,Oakland Ave,40.7376037,-74.05247829999999,3195,Sip Ave,40.730742625306576,-74.06378388404845,24679,Customer,1984.0,0,7
70,277,2015-10-01 07:57:32,2015-10-01 08:02:10,3202,Newport PATH,40.7272235,-74.03375890000001,3203,Hamilton Park,40.727595966,-74.044247311,24700,Subscriber,1980.0,1,5
71,141,2015-10-01 07:59:09,2015-10-01 08:01:30,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.0431174635887,19086,Subscriber,1965.0,1,2
72,313,2015-10-01 08:00:24,2015-10-01 08:05:38,3187,Warren St,40.721123600000006,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24683,Subscriber,1982.0,1,5
73,228,2015-10-01 08:00:27,2015-10-01 08:04:15,3187,Warren St,40.721123600000006,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24669,Subscriber,1974.0,1,4
74,319,2015-10-01 08:01:12,2015-10-01 08:06:31,3194,McGinley Square,40.7253399253558,-74.06762212514876,3195,Sip Ave,40.730742625306576,-74.06378388404845,24379,Subscriber,1970.0,1,5
75,379,2015-10-01 08:02:18,2015-10-01 08:08:38,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24556,Subscriber,1977.0,2,6
76,375,2015-10-01 08:02:24,2015-10-01 08:08:39,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24562,Subscriber,1980.0,1,6
77,248,2015-10-01 08:02:46,2015-10-01 08:06:55,3203,Hamilton Park,40.727595966,-74.044247311,3186,Grove St PATH,40.71958611647166,-74.0431174635887,24532,Subscriber,1970.0,1,4
78,94,2015-10-01 08:04:35,2015-10-01 08:06:10,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24590,Subscriber,1963.0,2,2
79,380,2015-10-01 08:04:34,2015-10-01 08:10:55,3203,Hamilton Park,40.727595966,-74.044247311,3187,Warren St,40.721123600000006,-74.03805095,24497,Subscriber,1974.0,1,6
80,464,2015-10-01 08:06:38,2015-10-01 08:14:22,3203,Hamilton Park,40.727595966,-74.044247311,3184,Paulus Hook,40.7141454,-74.0335519,24704,Subscriber,1963.0,1,8
