Anio,Mes,Periodo,Dia,Fecha,Franja_Horaria,Tipo,Subtipo,Uso_Arma,Uso_Moto,Barrio,Comuna,Cantidad
2016,Enero,Ene-2016,Sábado,2016-01-09,3,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Enero,Ene-2016,Martes,2016-01-12,23,Robo,Robo total,no,no,MONTE CASTRO,10,1
2016,Enero,Ene-2016,Viernes,2016-01-01,8,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Jueves,2016-01-07,14,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Sábado,2016-01-30,12,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Miércoles,2016-01-20,13,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Viernes,2016-01-22,22,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-22,15,Robo,Robo total,no,si,LINIERS,9,1
2016,Enero,Ene-2016,Sábado,2016-01-16,10,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Miércoles,2016-01-20,22,Robo,Robo total,si,no,LINIERS,9,1
2016,Enero,Ene-2016,Martes,2016-01-12,17,Robo,Robo total,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Domingo,2016-01-31,22,Robo,Robo total,no,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Jueves,2016-01-07,0,Robo,Robo automotor,no,no,LINIERS,9,1
2016,Enero,Ene-2016,Viernes,2016-01-08,19,Robo,Robo total,si,no,VILLA DEVOTO,11,1
2016,Enero,Ene-2016,Martes,2016-01-05,14,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,22,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Miércoles,2016-02-03,21,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-20,11,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Miércoles,2016-02-10,12,Robo,Robo total,si,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,13,Robo,Robo total,si,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-12,22,Robo,Robo total,no,no,VERSALLES,10,1
2016,Febrero,Feb-2016,Viernes,2016-02-19,4,Robo,Robo total,no,no,VILLA REAL,10,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,10,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Martes,2016-02-02,2,Robo,Robo total,si,no,LINIERS,9,1
2016,Febrero,Feb-2016,Martes,2016-02-02,21,Robo,Robo total,si,no,LINIERS,9,1
2016,Febrero,Feb-2016,Sábado,2016-02-06,22,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-08,23,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-15,19,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,14,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-22,22,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Jueves,2016-02-04,4,Robo,Robo total,no,no,LINIERS,9,1
2016,Febrero,Feb-2016,Lunes,2016-02-01,21,Robo,Robo total,no,no,VILLA REAL,10,1
