ID_Alojamiento,URL_Alojamiento,Desc_Alojamiento,ID_Host,Nombre_Host,Fecha_Ini_Host,Ubicacion_Host,Tiempo_Rpta_Host,Ratio_Rpta_Host,Superhost,Barrio_Alojamiento,Barrio_Latitude,Barrio_Logitude,Tipo_Propiedad,Capacidad_Alojamiento,Cant_Baños,Cant_Camas,Noches_Min,Noches_Max,Cant_Reseñas_Alojamiento,Fecha_Ini_Reseña,Fecha_Ult_Reseña,Score_Rating,Punto_Geo_Alojamiento,Precio_Noche,Moneda,Amenidades
284823,https://www.airbnb.com/rooms/284823,Rental unit in Buenos Aires · ?4.78 · 1 bedroom · 2 beds · 1 bath,1482817,Lorena,12/7/2011,"Buenos Aires, Argentina",within a few hours,90%,f,Palermo,-34.58573,-58.42833,Entire rental unit,3,1 bath,2.0,3,365,34,5/14/2012,3/3/2020,4.78,"[-58.42833, -34.58573]",34.0,USD,"['Bathtub', 'Hair dryer', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Iron', 'Ethernet connection', '55 TV with Netflix, standard cable', 'Crib', 'Children?s b"
285160,https://www.airbnb.com/rooms/285160,Rental unit in Buenos Aires · 1 bedroom,1484394,Julia,12/8/2011,,,,f,Coghlan,-34.56544,-58.47437,Private room in rental unit,3,,,7,365,0,,,,"[-58.47437, -34.56544]",59.0,USD,"['Unavailable: Lock on bedroom door', 'Lock on bedroom door', 'There is no lock on the bedroom door.', 'Unavailable: Kitchen', 'Kitchen', 'Unavailable: Wifi', 'Wifi', 'Unavailable: TV', 'TV', 'Unavailable: Washer', 'Washer', 'Unavailable: Dryer', 'Dryer'"
287215,https://www.airbnb.com/rooms/287215,Rental unit in Buenos Aires · ?4.78 · 1 bedroom · 4 beds · 1 bath,1494225,Feli,12/11/2011,"Buenos Aires, Argentina",within a few hours,100%,f,Recoleta,-34.59379577636719,-58.39151763916016,Entire rental unit,3,1 bath,4.0,2,60,320,12/31/2011,12/10/2023,4.78,"[-58.391517639160156, -34.59379577636719]",44.0,USD,"['Courtyard view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Body soap', 'Hot water', 'Free washer â?? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blan"
288861,https://www.airbnb.com/rooms/288861,Rental unit in Buenos Aires · 3 bedrooms · 3 beds · 2 baths,1011896,Natalia,8/23/2011,"Buenos Aires, Argentina",within an hour,95%,f,Retiro,-34.59553,-58.38506,Entire rental unit,6,2 baths,3.0,2,365,2,12/30/2013,10/10/2021,4.5,"[-58.38506, -34.59553]",182.0,USD,"['TV with standard cable', 'Crib', 'Air conditioning', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Cooking basics', 'Pots and pans, oil, salt and pepper', 'Free parking on premises', 'Elevator', 'The home or building has"
290421,https://www.airbnb.com/rooms/290421,Rental unit in Buenos Aires · ?4.93 · 1 bedroom · 1 bed · 1 bath,1538637,Ilana,12/27/2011,"Buenos Aires, Argentina",within an hour,100%,f,Palermo,-34.5860595703125,-58.424095153808594,Entire rental unit,2,1 bath,1.0,2,1125,14,11/30/2014,9/17/2023,4.93,"[-58.424095153808594, -34.5860595703125]",88.0,USD,"['Courtyard view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Safe', 'Clothing s"
290597,https://www.airbnb.com/rooms/290597,Home in Buenos Aires · ?5.0 · 1 bedroom · 7 beds · 2 baths,915313,Liliana,8/3/2011,"Buenos Aires, Argentina",,,f,San Telmo,-34.61967,-58.37526,Private room in home,7,2 baths,7.0,1,365,3,2/20/2012,3/19/2012,5.0,"[-58.37526, -34.61967]",246.0,USD,"['Washer', 'Dryer', 'TV with standard cable', 'Heating', 'Wifi', 'Kitchen', 'Space where guests can cook their own meals', 'Smoking allowed', 'Unavailable: Lock on bedroom door', 'Lock on bedroom door', 'There is no lock on the bedroom door.', 'Unavailab"
292877,https://www.airbnb.com/rooms/292877,Rental unit in Buenos Aires · ?4.69 · 1 bedroom · 1 bed · 2.5 shared baths,1516002,Maria Agustina,12/18/2011,"Buenos Aires, Argentina",within a day,90%,t,Palermo,-34.58956,-58.42481,Private room in rental unit,6,2.5 shared baths,1.0,10,365,14,1/27/2012,10/27/2023,4.69,"[-58.42481, -34.58956]",15.0,USD,"['Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Outdoor shower', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'TV with standard cable', 'AC - split type ductless system', 'Heating - split type ductless system', 'Wifi'"
294439,https://www.airbnb.com/rooms/294439,Rental unit in Buenos Aires · ?4.85 · 1 bedroom · 2 beds · 1 bath,1381697,Silvina,11/7/2011,"Buenos Aires, Argentina",within an hour,90%,f,Recoleta,-34.58902,-58.39114,Entire rental unit,2,1 bath,2.0,180,730,37,2/26/2012,6/27/2018,4.85,"[-58.39114, -34.58902]",39.0,USD,"['TV', 'Air conditioning', 'Heating', 'Wifi', 'Elevator', 'The home or building has an elevator thatâ??s at least 52 inches deep and a doorway at least 32 inches wide.']"
298002,https://www.airbnb.com/rooms/298002,Rental unit in Buenos Aires · ?4.74 · 1 bedroom · 1 bed · 1 bath,1538637,Ilana,12/27/2011,"Buenos Aires, Argentina",within an hour,100%,f,Palermo,-34.5860595703125,-58.424095153808594,Entire rental unit,2,1 bath,1.0,2,1125,46,1/12/2012,2/21/2023,4.74,"[-58.424095153808594, -34.5860595703125]",100.0,USD,"['City skyline view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron',"
298494,https://www.airbnb.com/rooms/298494,Rental unit in Buenos Aires · ?4.88 · 1 bedroom · 1 bed · 1 bath,1538637,Ilana,12/27/2011,"Buenos Aires, Argentina",within an hour,100%,f,Palermo,-34.5860595703125,-58.424095153808594,Entire rental unit,2,1 bath,1.0,2,1125,42,1/23/2012,7/13/2023,4.88,"[-58.424095153808594, -34.5860595703125]",80.0,USD,"['Courtyard view', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Safe', 'Clothing sto"
299360,https://www.airbnb.com/rooms/299360,Rental unit in Buenos Aires · ?4.67 · 2 bedrooms · 3 beds · 1.5 baths,1409800,Mariano,11/15/2011,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.59363,-58.41472,Entire rental unit,3,1.5 baths,3.0,1,1125,10,3/7/2012,5/16/2015,4.67,"[-58.41472, -34.59363]",,,
301727,https://www.airbnb.com/rooms/301727,Serviced apartment in Buenos Aires · ?4.52 · 2 bedrooms · 3 beds · 1 bath,1554264,Recepcionistas,1/1/2012,"Buenos Aires, Argentina",within an hour,100%,f,Monserrat,-34.61061,-58.38073,Entire serviced apartment,4,1 bath,3.0,1,90,127,2/1/2016,12/21/2023,4.52,"[-58.38073, -34.61061]",26.0,USD,"['City skyline view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Shampoo', 'Genérico conditioner', 'Generico body soap', 'Bidet', 'Hot water', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Extra pillows and bla"
302722,https://www.airbnb.com/rooms/302722,Rental unit in Buenos Aires · ?4.62 · Studio · 2 beds · 1 bath,1558866,Vero,1/2/2012,"New York, NY",within a day,100%,f,Palermo,-34.58055,-58.40682,Entire rental unit,2,1 bath,2.0,3,365,14,3/5/2012,4/17/2022,4.62,"[-58.40682, -34.58055]",44.0,USD,"['Garden view', 'Pool view', 'Courtyard view', 'Bathtub', 'Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Paid washer â?? In building', 'Paid dryer â?? In building', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed li"
305216,https://www.airbnb.com/rooms/305216,Home in Buenos Aires · ?4.49 · 7 bedrooms · 15 beds · 4.5 baths,1011896,Natalia,8/23/2011,"Buenos Aires, Argentina",within an hour,95%,f,Palermo,-34.5783,-58.4295,Entire home,16,4.5 baths,15.0,1,365,77,8/28/2014,12/21/2023,4.49,"[-58.4295, -34.5783]",373.0,USD,"['Hair dryer', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Extra pillows and blankets', 'Iron', 'Clothing storage: closet, wardrobe, and dresser', 'TV with standard cable', 'Books and reading ma"
306194,https://www.airbnb.com/rooms/306194,Rental unit in Buenos Aires · ?4.89 · 2 bedrooms · 2 beds · 1 bath,737924,Gabriel,6/24/2011,"Buenos Aires, Argentina",within an hour,100%,t,Palermo,-34.58784,-58.41107,Entire rental unit,4,1 bath,2.0,6,360,19,12/11/2012,12/15/2023,4.89,"[-58.41107, -34.58784]",69.0,USD,"['Hair dryer', 'Bidet', 'Hot water', 'Free washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Drying rack for clothing',"
307695,https://www.airbnb.com/rooms/307695,Rental unit in Buenos Aires · ?4.67 · 2 bedrooms · 4 beds · 1 private bath,500210,Luciano,4/11/2011,"Buenos Aires, Argentina",within an hour,100%,t,Balvanera,-34.60141,-58.40059,Private room in rental unit,4,1 private bath,4.0,2,1125,3,4/1/2012,10/15/2018,4.67,"[-58.40059, -34.60141]",26.0,USD,"['Hair dryer', 'Cleaning products', 'Bidet', 'Hot water', 'Paid washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Room-darkening shades', 'Iron', 'Dryin"
307696,https://www.airbnb.com/rooms/307696,Rental unit in Buenos Aires · ?4.67 · 1 bedroom · 2 beds · 1 shared bath,500210,Luciano,4/11/2011,"Buenos Aires, Argentina",within an hour,100%,t,Balvanera,-34.60341,-58.40237,Private room in rental unit,2,1 shared bath,2.0,2,1125,6,1/9/2016,11/20/2022,4.67,"[-58.40237, -34.60341]",26.0,USD,"['Bathtub', 'Hair dryer', 'Cleaning products', 'Natura Ecos body soap', 'Bidet', 'Hot water', 'Paid washer ? In unit', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Cotton linens', 'Extra pillows and blankets', 'Ro"
308319,https://www.airbnb.com/rooms/308319,Home in Buenos Aires · ?4.66 · 6 bedrooms · 6 beds · 3 baths,1388769,Juan Y Josefina,11/9/2011,"Buenos Aires, Argentina",,,f,Balvanera,-34.6177,-58.40072,Private room in home,1,3 baths,6.0,5,365,39,7/19/2012,8/4/2018,4.66,"[-58.40072, -34.6177]",15.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Dryer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Iron', 'TV with standard cable', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'Firs"
308320,https://www.airbnb.com/rooms/308320,Home in Buenos Aires · ?4.89 · 6 bedrooms · 6 beds · 3 baths,1388769,Juan Y Josefina,11/9/2011,"Buenos Aires, Argentina",,,f,San Cristobal,-34.61887,-58.39995,Private room in home,2,3 baths,6.0,5,365,21,2/26/2012,7/27/2019,4.89,"[-58.39995, -34.61887]",15.0,USD,"['Hair dryer', 'Shampoo', 'Hot water', 'Washer', 'Essentials', 'Towels, bed sheets, soap, and toilet paper', 'Hangers', 'Bed linens', 'Iron', 'TV', 'Heating', 'Smoke alarm', 'Carbon monoxide alarm', 'Fire extinguisher', 'First aid kit', 'Wifi', 'Kitchen'"
